End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003154
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.003166
Start: N=3, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.003180
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=3, Cur_Time=0.003195
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003209
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003217
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003225
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003233
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=3, Cur_Time=0.003241
Start: N=1, Current_CPU=0, Previous_CPU=000000, Pre_N=3, Cur_Time=0.003254
End: N=1, Current_CPU=0, Previous_CPU=000000, Pre_N=3, Cur_Time=0.003261
End: N=3, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.003269
End: N=5, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003282
End: N=7, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.003295
End: N=9, Current_CPU=0, Previous_CPU=00, Pre_N=10, Cur_Time=0.003307
Start: N=8, Current_CPU=0, Previous_CPU=00, Pre_N=10, Cur_Time=0.003328
Start: N=7, Current_CPU=0, Previous_CPU=000, Pre_N=8, Cur_Time=0.003344
Start: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003358
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003373
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003388
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003403
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003444
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003484
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003494
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003503
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003513
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003521
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003536
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003544
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003553
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003567
